Name	Summary	URL	Version	Author	ResID	ResType	ResFile
XYGrid Widget	Clickable point X/Y grid Ccontrol	https://github.com/PaulMcClernan/	0.1.0	Paul McClernan	org.openxtalk.paulmcclernan.xygrid	widget	Widgets/org.openxtalk.paulmcclernan.xygrid.0.1.lce.b64
Tile Plus Widget	A modified version of the IDE's Tile widget	https://github.com/PaulMcClernan/	1.0.0	OpenXTalk.org, LiveCode	org.openxtalk.widget.tileplus	widget	Widgets/org.openxtalk.widget.tileplus.1.0.0.lce.b64
HH SVGText Widget	Uses SVG 'fonts' (included) to allow for scalable rotated, stylized text. Great for header titles or rotating text animations	http://hh.on-rev.com/widgets/index-large.html	1.5.3	Hermann Hoch	org.openxtalk.hh.svgtext	widget	Widgets/org.openxtalk.hh.svgtext.1.5.3.lce.b64
HH Progress Bar	A progress display that can display as circular or as a traditional rectangular bar	http://hh.on-rev.com/widgets/index-large.html	1.3.0	Hermann Hoch	org.openxtalk.hermann.progress	widget	Widgets/org.openxtalk.hermann.progress.1.3.0.lce.b64
HH Poly Widget	A control that alows for arbitrary editing points of polygons	http://hh.on-rev.com/widgets/index-large.html	1.2.2	Hermann Hoch	org.openxtalk.hermann.polygon	widget	Widgets/org.openxtalk.hermann.polygon.1.2.2.lce.b64
HH Oriented Text	Oriented text is a widgetfor dispaying rotated text	http://hh.on-rev.com/widgets/index-large.html	1.5.3	Hermann Hoch and Cyril Pruszko	org.openxtalk.hh.orientedtext	widget	Widgets/org.openxtalk.hh.orientedtext.1.5.3.lce.b64
HH Icon Grid	An excellent button grid control with plenty of options, thanks to Hermann Hoch	http://hh.on-rev.com/widgets/index-large.html	2.1.1	Hermann Hoch	org.openxtalk.hermann.icongrid	widget	Widgets/org.openxtalk.hermann.icongrid.2.1.1.lce.b64
HH Digital Clock	A digital clock for displaying the current date and time	http://hh.on-rev.com/widgets/index-large.html	1.2.1	Hermann Hoch	org.openxtalk.hermann.digitclock	widget	Widgets/org.openxtalk.hermann.digitclock.1.2.1.lce.b64
HH Date Picker	A date picker control	http://hh.on-rev.com/widgets/index-large.html	1.1.0	Hermann Hoch	org.openxtalk.hermann.datepicker	widget	Widgets/org.openxtalk.hermann.datepicker.1.1.0.lce.b64
HH Color Picker	A color picker control with slliders	http://hh.on-rev.com/widgets/index-large.html	1.0.2	Hermann Hoch	org.openxtalk.hermann.colorpicker	widget	Widgets/org.openxtalk.hermann.colorpicker.1.0.2.lce.b64
HH BaseClock	A widget that displays the current time in a bases other than base 60	http://hh.on-rev.com/widgets/index-large.html	1.0.5	Hermann Hoch	org.openxtalk.hermann.baseclock	widget	Widgets/org.openxtalk.hermann.baseclock.1.0.5.lce.b64
FiveStar Rating Widget	A simple Five-star rating control	https://github.com/PaulMcClernan/	1.0.2	Paul McClernan	org.openxtalk.widget.fivestar	widget	Widgets/org.openxtalk.widget.fivestar.1.0.2.lce.b64
Eight-Way Widget	8-direction virtual-joystick control	https://github.com/PaulMcClernan/	0.1.0	Paul McClernan	org.openxtalk.widget.eightway	widget	Widgets/org.openxtalk.widget.eightway.0.1.lce.b64
Custom Checkbox	Checkbox control with additional options		1.0.0	Hoerwi	org.openxtalk.hoerwi.customcheckbox	widget	Widgets/org.openxtalk.hoerwi.customcheckbox.1.0.0.lce.b64
ApplePDFKit Widget	Widget that uses native Apple PDF Kit view	https://github.com/PaulMcClernan/	0.0.5	Paul McClernan	org.openxtalk.applepdfkit.paulmcclernan	widget	Widgets/org.openxtalk.applepdfkit.paulmcclernan.0.0.5.lce.b64
Openxtalk.org macOS Native Tools	Included with OXT DPE, allows for addtional macOS native behaviors from your stacks, including native darkMode support	https://github.com/PaulMcClernan/OpenXTalk-macOS-Native-App-Tools	1.0.2	Paul McClernan	org.openxtalk.library.macosnativeapptools	library	Libraries/org.openxtalk.library.macosnativeapptools.lce.b64
CoreMIDI Library	xTalk scripting for Apple's MIDI API	https://github.com/PaulMcClernan/	0.6.0	Paul McClernan	org.openxtalk.coremidi.paulmcclernan	library	Libraries/org.openxtalk.coremidi.paulmcclernan.0.6.lce.b64